table_name	ordinal_position	column_name	data_type	is_nullable	column_default	column_comment
_orphan_api_keys_backup	1	id	character varying	YES		
_orphan_api_keys_backup	2	api_key	character varying	YES		
_orphan_api_keys_backup	3	name	character varying	YES		
_orphan_api_keys_backup	4	note	character varying	YES		
_orphan_api_keys_backup	5	rate_multiplier	double precision	YES		
_orphan_api_keys_backup	6	internal_priority	integer	YES		
_orphan_api_keys_backup	7	global_priority	integer	YES		
_orphan_api_keys_backup	8	max_concurrent	integer	YES		
_orphan_api_keys_backup	9	allowed_models	json	YES		
_orphan_api_keys_backup	10	capabilities	json	YES		
_orphan_api_keys_backup	11	learned_max_concurrent	integer	YES		
_orphan_api_keys_backup	12	concurrent_429_count	integer	YES		
_orphan_api_keys_backup	13	rpm_429_count	integer	YES		
_orphan_api_keys_backup	14	last_429_at	timestamp with time zone	YES		
_orphan_api_keys_backup	15	last_429_type	character varying	YES		
_orphan_api_keys_backup	16	last_concurrent_peak	integer	YES		
_orphan_api_keys_backup	17	adjustment_history	json	YES		
_orphan_api_keys_backup	18	utilization_samples	json	YES		
_orphan_api_keys_backup	19	last_probe_increase_at	timestamp with time zone	YES		
_orphan_api_keys_backup	20	cache_ttl_minutes	integer	YES		
_orphan_api_keys_backup	21	max_probe_interval_minutes	integer	YES		
_orphan_api_keys_backup	22	request_count	integer	YES		
_orphan_api_keys_backup	23	success_count	integer	YES		
_orphan_api_keys_backup	24	error_count	integer	YES		
_orphan_api_keys_backup	25	total_response_time_ms	integer	YES		
_orphan_api_keys_backup	26	last_used_at	timestamp with time zone	YES		
_orphan_api_keys_backup	27	last_error_at	timestamp with time zone	YES		
_orphan_api_keys_backup	28	last_error_msg	text	YES		
_orphan_api_keys_backup	29	is_active	boolean	YES		
_orphan_api_keys_backup	30	expires_at	timestamp with time zone	YES		
_orphan_api_keys_backup	31	created_at	timestamp with time zone	YES		
_orphan_api_keys_backup	32	updated_at	timestamp with time zone	YES		
_orphan_api_keys_backup	33	endpoint_id	character varying	YES		
_orphan_api_keys_backup	34	rate_limit	integer	YES		
_orphan_api_keys_backup	35	daily_limit	integer	YES		
_orphan_api_keys_backup	36	monthly_limit	integer	YES		
_orphan_api_keys_backup	37	provider_id	character varying	YES		
_orphan_api_keys_backup	38	backup_at	timestamp with time zone	YES		
_sqlx_migrations	1	version	bigint	NO		
_sqlx_migrations	2	description	text	NO		
_sqlx_migrations	3	installed_on	timestamp with time zone	NO	now()	
_sqlx_migrations	4	success	boolean	NO		
_sqlx_migrations	5	checksum	bytea	NO		
_sqlx_migrations	6	execution_time	bigint	NO		
alembic_version	1	version_num	character varying	NO		
announcement_reads	1	id	character varying	NO		
announcement_reads	2	user_id	character varying	NO		
announcement_reads	3	announcement_id	character varying	NO		
announcement_reads	4	read_at	timestamp with time zone	NO	now()	
announcements	1	id	character varying	NO		
announcements	2	title	character varying	NO		
announcements	3	content	text	NO		
announcements	4	type	character varying	YES	'info'::character varying	
announcements	5	priority	integer	YES	0	
announcements	6	author_id	character varying	YES		
announcements	7	is_active	boolean	YES	true	
announcements	8	is_pinned	boolean	YES	false	
announcements	9	start_time	timestamp with time zone	YES		
announcements	10	end_time	timestamp with time zone	YES		
announcements	11	created_at	timestamp with time zone	NO	now()	
announcements	12	updated_at	timestamp with time zone	NO	now()	
api_key_provider_mappings	1	id	character varying	NO		
api_key_provider_mappings	2	api_key_id	character varying	NO		
api_key_provider_mappings	3	provider_id	character varying	NO		
api_key_provider_mappings	4	priority_adjustment	integer	YES	0	
api_key_provider_mappings	5	weight_multiplier	double precision	YES	'1'::double precision	
api_key_provider_mappings	6	is_enabled	boolean	NO	true	
api_key_provider_mappings	7	created_at	timestamp with time zone	NO	now()	
api_key_provider_mappings	8	updated_at	timestamp with time zone	NO	now()	
api_keys	1	id	character varying	NO		
api_keys	2	user_id	character varying	NO		
api_keys	3	key_hash	character varying	NO		
api_keys	4	key_encrypted	text	YES		
api_keys	5	name	character varying	YES		
api_keys	6	total_requests	integer	YES	0	
api_keys	7	total_cost_usd	numeric	YES	'0'::double precision	
api_keys	10	is_standalone	boolean	NO	false	
api_keys	11	allowed_providers	json	YES		
api_keys	13	allowed_api_formats	json	YES		
api_keys	14	allowed_models	json	YES		
api_keys	15	rate_limit	integer	YES	100	
api_keys	16	concurrent_limit	integer	YES	5	
api_keys	17	force_capabilities	json	YES		
api_keys	18	is_active	boolean	NO	true	
api_keys	19	last_used_at	timestamp with time zone	YES		
api_keys	20	expires_at	timestamp with time zone	YES		
api_keys	21	auto_delete_on_expiry	boolean	NO	false	
api_keys	22	created_at	timestamp with time zone	NO	now()	
api_keys	23	updated_at	timestamp with time zone	NO	now()	
api_keys	24	is_locked	boolean	NO	false	
audit_logs	1	id	character varying	NO		
audit_logs	2	event_type	character varying	NO		
audit_logs	3	user_id	character varying	YES		
audit_logs	4	api_key_id	character varying	YES		
audit_logs	5	description	text	NO		
audit_logs	6	ip_address	character varying	YES		
audit_logs	7	user_agent	character varying	YES		
audit_logs	8	request_id	character varying	YES		
audit_logs	9	event_metadata	json	YES		
audit_logs	10	status_code	integer	YES		
audit_logs	11	error_message	text	YES		
audit_logs	12	created_at	timestamp with time zone	NO	now()	
billing_rules	1	id	character varying	NO		
billing_rules	2	global_model_id	character varying	YES		
billing_rules	3	model_id	character varying	YES		
billing_rules	4	name	character varying	NO		
billing_rules	5	task_type	character varying	NO	'chat'::character varying	
billing_rules	6	expression	text	NO		
billing_rules	7	variables	jsonb	NO	'{}'::jsonb	
billing_rules	8	dimension_mappings	jsonb	NO	'{}'::jsonb	
billing_rules	9	is_enabled	boolean	NO	true	
billing_rules	10	created_at	timestamp with time zone	NO	now()	
billing_rules	11	updated_at	timestamp with time zone	NO	now()	
dimension_collectors	1	id	character varying	NO		
dimension_collectors	2	api_format	character varying	NO		
dimension_collectors	3	task_type	character varying	NO		
dimension_collectors	4	dimension_name	character varying	NO		
dimension_collectors	5	source_type	character varying	NO		
dimension_collectors	6	source_path	character varying	YES		
dimension_collectors	7	value_type	character varying	NO	'float'::character varying	
dimension_collectors	8	transform_expression	text	YES		
dimension_collectors	9	default_value	character varying	YES		
dimension_collectors	10	priority	integer	NO	0	
dimension_collectors	11	is_enabled	boolean	NO	true	
dimension_collectors	12	created_at	timestamp with time zone	NO	now()	
dimension_collectors	13	updated_at	timestamp with time zone	NO	now()	
gemini_file_mappings	1	id	character varying	NO		
gemini_file_mappings	2	file_name	character varying	NO		
gemini_file_mappings	3	key_id	character varying	NO		
gemini_file_mappings	4	user_id	character varying	YES		
gemini_file_mappings	5	display_name	character varying	YES		
gemini_file_mappings	6	mime_type	character varying	YES		
gemini_file_mappings	7	source_hash	character varying	YES		
gemini_file_mappings	8	created_at	timestamp with time zone	NO		
